Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[14]     0.2    0.00    0.03       1         tinyxml2::XMLDocument::Accept(tinyxml2::XMLVisitor*) const [14]
                0.00    0.03       1/1           tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const [15]
                0.00    0.00       1/1           tinyxml2::XMLDeclaration::Accept(tinyxml2::XMLVisitor*) const [76]
                0.00    0.00       2/25002       tinyxml2::XMLNode::NextSibling() const [98]
                0.00    0.00       1/1           tinyxml2::XMLPrinter::VisitEnter(tinyxml2::XMLDocument const&) [141]
                0.00    0.00       1/25002       tinyxml2::XMLNode::FirstChild() const [97]
                0.00    0.00       1/1           tinyxml2::XMLPrinter::VisitExit(tinyxml2::XMLDocument const&) [142]
-----------------------------------------------
                               25000             tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const [15]
                0.00    0.03       1/1           tinyxml2::XMLDocument::Accept(tinyxml2::XMLVisitor*) const [14]
[15]     0.2    0.00    0.03       1+25000   tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const [15]
                0.00    0.02   25001/25001       tinyxml2::XMLPrinter::VisitEnter(tinyxml2::XMLElement const&, tinyxml2::XMLAttribute const*) [16]
                0.00    0.00   25001/25001       tinyxml2::XMLPrinter::VisitExit(tinyxml2::XMLElement const&) [52]
                0.00    0.00   25001/25002       tinyxml2::XMLNode::FirstChild() const [97]
                0.00    0.00   25000/25002       tinyxml2::XMLNode::NextSibling() const [98]
                               25000             tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const [15]
-----------------------------------------------
                0.00    0.02   25001/25001       tinyxml2::XMLElement::Accept(tinyxml2::XMLVisitor*) const [15]
[16]     0.2    0.00    0.02   25001         tinyxml2::XMLPrinter::VisitEnter(tinyxml2::XMLElement const&, tinyxml2::XMLAttribute const*) [16]
                0.00    0.02   25000/25000       tinyxml2::XMLPrinter::PushAttribute(char const*, char const*) [23]
                0.00    0.00   25001/25002       tinyxml2::XMLPrinter::OpenElement(char const*) [43]
                0.00    0.00   25001/323646330     tinyxml2::XMLElement::Name() const [5]
                0.00    0.00   25000/29000       tinyxml2::XMLAttribute::Value() const [67]
